,Employee_No,Late_minutes,Early_minutes,isLate,isEarly,isHoliday,isOT,holiday_hours,OT_hours,Working_Time,count,project_code,isLate%,isEarly%,isHoliday%
124,645,578.8166666666667,3277.616666666667,49,211,8,8,97.21777777777778,379.75166666666667,2776.8375,286,199.1,0.17132867132867133,0.7377622377622378,0.027972027972027972
125,646,0.0,13725.0,0,413,30,67,361.8833333333333,2559.483333333333,7328.233333333334,603,199.1,0.0,0.6849087893864013,0.04975124378109453
126,648,154.53333333333333,8527.866666666667,16,235,16,26,166.90916666666666,738.2725,3163.7219444444445,294,196.0,0.05442176870748299,0.7993197278911565,0.05442176870748299
127,650,3198.133333333333,4743.216666666666,199,233,13,38,140.2211111111111,1244.1191666666666,5209.316666666667,501,205.0,0.3972055888223553,0.46506986027944114,0.02594810379241517
128,653,1361.0166666666667,11393.616666666667,59,413,9,8,76.2936111111111,551.9305555555555,4714.901944444445,485,179.1,0.12164948453608247,0.8515463917525773,0.018556701030927835
129,656,718.8166666666667,1768.6666666666667,69,98,4,9,38.2775,441.67055555555555,2227.2894444444446,208,190.0,0.3317307692307692,0.47115384615384615,0.019230769230769232
130,659,4603.966666666666,14994.0,91,255,15,28,132.29472222222222,1292.3963888888889,4959.426944444444,442,195.0,0.20588235294117646,0.5769230769230769,0.033936651583710405
131,660,338.1166666666667,113.60000000000001,25,14,0,0,0.0,41.98027777777778,386.3258333333333,39,190.0,0.6410256410256411,0.358974358974359,0.0
132,661,0.0,8565.0,0,219,4,1,46.56666666666667,732.8333333333334,2754.5833333333335,220,197.0,0.0,0.9954545454545455,0.01818181818181818
133,662,41.233333333333334,1975.1666666666667,10,131,3,2,30.146388888888886,388.53833333333336,1692.4025,145,190.0,0.06896551724137931,0.903448275862069,0.020689655172413793
134,664,3060.4166666666665,16812.083333333332,74,320,10,29,86.1561111111111,1337.1794444444445,4865.389722222222,432,190.0,0.1712962962962963,0.7407407407407407,0.023148148148148147
135,667,5731.533333333334,230.95000000000002,129,17,2,3,6.6241666666666665,128.60694444444445,1488.9611111111112,173,169.0,0.7456647398843931,0.09826589595375723,0.011560693641618497
136,668,14.0,2567.383333333333,1,102,2,1,25.630555555555553,523.0280555555555,1501.9069444444444,106,194.1,0.009433962264150943,0.9622641509433962,0.018867924528301886
137,669,1013.7666666666667,1807.75,173,111,1,0,9.046111111111111,58.89388888888891,3463.7569444444443,408,194.1,0.42401960784313725,0.27205882352941174,0.0024509803921568627
